,Acc X__sum_values,Acc X__median,Acc X__mean,Acc X__length,Acc X__standard_deviation,Acc X__variance,Acc X__root_mean_square,Acc X__maximum,Acc X__absolute_maximum,Acc X__minimum,Acc Y__sum_values,Acc Y__median,Acc Y__mean,Acc Y__length,Acc Y__standard_deviation,Acc Y__variance,Acc Y__root_mean_square,Acc Y__maximum,Acc Y__absolute_maximum,Acc Y__minimum,Acc Z__sum_values,Acc Z__median,Acc Z__mean,Acc Z__length,Acc Z__standard_deviation,Acc Z__variance,Acc Z__root_mean_square,Acc Z__maximum,Acc Z__absolute_maximum,Acc Z__minimum,Gyro X__sum_values,Gyro X__median,Gyro X__mean,Gyro X__length,Gyro X__standard_deviation,Gyro X__variance,Gyro X__root_mean_square,Gyro X__maximum,Gyro X__absolute_maximum,Gyro X__minimum,Gyro Y__sum_values,Gyro Y__median,Gyro Y__mean,Gyro Y__length,Gyro Y__standard_deviation,Gyro Y__variance,Gyro Y__root_mean_square,Gyro Y__maximum,Gyro Y__absolute_maximum,Gyro Y__minimum,Gyro Z__sum_values,Gyro Z__median,Gyro Z__mean,Gyro Z__length,Gyro Z__standard_deviation,Gyro Z__variance,Gyro Z__root_mean_square,Gyro Z__maximum,Gyro Z__absolute_maximum,Gyro Z__minimum
1,17931.0,10.0,8.969984992496249,1999.0,36.880458018327204,1360.1681836415955,37.95561637501364,128.0,128.0,-113.0,-521544.0,-245.0,-260.9024512256128,1999.0,59.31351477962045,3518.0930355122537,267.55967949421216,-141.0,499.0,-499.0,-56328.0,-28.0,-28.17808904452226,1999.0,49.714143341449244,2471.4960481741623,57.14456011183556,94.0,209.0,-209.0,-59956.0,-42.0,-29.992996498249124,1999.0,294.85324683571025,86938.43716956027,296.37479145248545,1171.0,1171.0,-776.0,-274945.0,-133.0,-137.54127063531766,1999.0,473.29835816375544,224011.33584050654,492.8782171779194,1158.0,1159.0,-1159.0,-10090.0,12.0,-5.0475237618809405,1999.0,427.8245214491543,183033.8211531979,427.85429605103263,1228.0,1228.0,-1218.0
2,23051.0,8.0,11.531265632816408,1999.0,62.46793593083337,3902.243019458703,63.52332726292977,190.0,190.0,-174.0,-523788.0,-255.0,-262.0250125062531,1999.0,93.75731220274548,8790.433591483086,278.2939826341655,-85.0,578.0,-578.0,-60486.0,-29.0,-30.258129064532266,1999.0,64.54079453943251,4165.514159781242,71.28161427932966,129.0,304.0,-304.0,-100876.0,-38.0,-50.463231615807906,1999.0,365.3457243117789,133477.49827289835,368.8143652544041,871.0,1144.0,-1144.0,-3832.0,-5.0,-1.9169584792396197,1999.0,588.2307691939168,346015.437826467,588.2338927299907,1310.0,1368.0,-1368.0,-47153.0,24.0,-23.588294147073537,1999.0,644.8593714039405,415843.6088874852,645.2906449873996,1466.0,1882.0,-1882.0
3,20119.0,9.0,10.064532266133067,1999.0,120.40436430271289,14497.210943140404,120.82427633913822,490.0,490.0,-370.0,-525312.0,-222.0,-262.7873936968484,1999.0,215.03738479527317,46241.07685959038,339.5560206292517,113.0,724.0,-724.0,-133480.0,-48.0,-66.77338669334668,1999.0,113.72096728961941,12932.458401286689,131.87548510540498,305.0,564.0,-564.0,-70592.0,-128.0,-35.31365682841421,1999.0,660.874303170338,436754.8445908798,661.8171189607252,2115.0,2115.0,-1664.0,-618.0,149.0,-0.3091545772886443,1999.0,998.8588679038849,997719.0379902306,998.8589157467552,2346.0,2391.0,-2391.0,-47268.0,-54.0,-23.645822911455728,1999.0,985.3106906960417,970837.1571999106,985.5943801285956,2391.0,2391.0,-2357.0
4,19592.0,19.0,9.800900450225113,1999.0,186.642720543169,34835.505131755475,186.8998736794402,625.0,708.0,-708.0,-522534.0,-197.0,-261.3976988494247,1999.0,262.1080249116171,68700.6167230689,370.1747880216094,168.0,925.0,-925.0,-156217.0,-64.0,-78.14757378689345,1999.0,108.67244168903983,11809.699582657762,133.8534380262073,359.0,564.0,-564.0,8565.0,-175.0,4.284642321160581,1999.0,985.9584750771951,972114.1145765479,985.9677848369936,2140.0,3221.0,-3221.0,13614.0,95.0,6.8104052026013004,1999.0,1256.5050489515777,1578804.9380408064,1256.5235054147734,3015.0,3015.0,-2608.0,-94721.0,57.0,-47.384192096048025,1999.0,1300.7746722027443,1692014.7478441573,1301.6374339672136,2820.0,3271.0,-3271.0
5,6942.0,7.0,3.472736368184092,1999.0,30.710286434881866,943.121692912489,30.906012211144255,103.0,180.0,-180.0,-518671.0,-253.0,-259.4652326163081,1999.0,47.96114888881191,2300.271802734784,263.86071844700507,-160.0,517.0,-517.0,-78093.0,-38.0,-39.06603301650826,1999.0,34.698222218630704,1203.9666251334772,52.25056517187532,45.0,124.0,-124.0,-58626.0,-42.0,-29.32766383191596,1999.0,260.8735415722362,68055.00469244126,262.51688813918076,1177.0,1177.0,-632.0,559244.0,184.0,279.76188094047023,1999.0,518.9585188623593,269317.9442998137,589.5631046182958,1883.0,1883.0,-866.0,8747.0,2.0,4.375687843921961,1999.0,274.7190778141775,75470.57171507213,274.7539232825977,1092.0,1185.0,-1185.0
6,7090.0,5.0,3.5467733866933466,1999.0,27.045617409382604,731.4654210546994,27.277188684159803,123.0,123.0,-88.0,-517231.0,-256.0,-258.7448724362181,1999.0,36.63428691758877,1342.0709779602157,261.32542928309715,-179.0,437.0,-437.0,-89191.0,-43.0,-44.617808904452225,1999.0,31.801346918557048,1011.3256658344179,54.79119032534915,33.0,141.0,-141.0,-56852.0,-29.0,-28.440220110055026,1999.0,176.0000548659232,30976.019312807974,178.28310473153746,463.0,656.0,-656.0,553097.0,163.0,276.6868434217109,1999.0,490.7915037284743,240876.30013205702,563.4109596508816,1608.0,1608.0,-951.0,27951.0,43.0,13.98249124562281,1999.0,226.43179077049354,51271.35587153256,226.86309954015545,802.0,802.0,-712.0
7,-12150.0,-9.0,-6.078039019509755,1999.0,24.368603311847057,593.8288273701634,25.11516246598549,83.0,91.0,-91.0,-514377.0,-257.0,-257.31715857928964,1999.0,28.46553361580249,810.2866040323814,258.8868608163645,-178.0,434.0,-434.0,-96049.0,-42.0,-48.04852426213107,1999.0,33.91635750233801,1150.3193062264,58.81309369515429,29.0,132.0,-132.0,-63467.0,-35.0,-31.74937468734367,1999.0,185.9883209939061,34591.65554613224,188.67877023971081,535.0,611.0,-611.0,-438301.0,-111.0,-219.2601300650325,1999.0,523.9576024362643,274531.56915075844,567.9846598165249,1109.0,1923.0,-1923.0,-57983.0,-18.0,-29.00600300150075,1999.0,209.6481866009208,43952.36214505451,211.64524647432455,595.0,657.0,-657.0
8,-19138.0,-10.0,-9.573786893446723,1999.0,22.696365253371862,515.1249957144656,24.63295335918123,59.0,97.0,-97.0,-513911.0,-256.0,-257.08404202101053,1999.0,33.81892665905321,1143.7198003704202,259.2989094890897,-175.0,403.0,-403.0,-85062.0,-37.0,-42.55227613806903,1999.0,35.51616311615083,1261.3978424930324,55.42647424312241,45.0,128.0,-128.0,-68743.0,-24.0,-34.38869434717358,1999.0,215.26890356637082,46340.70084266746,217.99835582309052,742.0,743.0,-743.0,-421876.0,-117.0,-211.04352176088045,1999.0,462.1640622300829,213595.62041701193,508.069865760849,1118.0,1761.0,-1761.0,-70230.0,-28.0,-35.13256628314157,1999.0,192.87031760920297,37198.95941467483,196.04401706839758,532.0,591.0,-591.0
9,-23911.0,-13.0,-11.961480740370185,1999.0,25.27376898501405,638.7633987078582,27.96140948182164,53.0,105.0,-105.0,-515471.0,-256.0,-257.86443221610807,1999.0,30.39967435130869,924.1402006656155,259.6501600284533,-189.0,410.0,-410.0,-77417.0,-33.0,-38.727863931965985,1999.0,34.41751387913289,1184.565261620305,51.811318322864324,45.0,120.0,-120.0,19763.0,-6.0,9.886443221610806,1999.0,205.85754364473354,42377.328275443375,206.09480836502775,546.0,594.0,-594.0,535595.0,180.0,267.93146573286646,1999.0,513.5512430566449,263734.8792450252,579.2427380423404,2073.0,2073.0,-584.0,31403.0,23.0,15.70935467733867,1999.0,216.8420099892589,47020.457296181856,217.4103059207642,798.0,915.0,-915.0
10,14405.0,5.0,7.206103051525763,1999.0,72.471184473975,5252.072579060916,72.8285692585686,505.0,505.0,-373.0,-523168.0,-260.0,-261.71485742871437,1999.0,147.253229136453,21683.513491112735,300.2968199799076,90.0,1022.0,-1022.0,-101389.0,-48.0,-50.71985992996498,1999.0,43.79084813029288,1917.6383799703756,67.00852610888887,205.0,293.0,-293.0,-79323.0,-55.0,-39.68134067033517,1999.0,492.3600798512396,242418.44823111908,493.95653354168144,3095.0,3095.0,-2940.0,66685.0,44.0,33.3591795897949,1999.0,483.71639193688844,233981.5478284415,484.8653242822647,2355.0,2421.0,-2421.0,-16014.0,-3.0,-8.011005502751376,1999.0,308.5374200137057,95195.33954871382,308.6414031815546,1663.0,1663.0,-1416.0
